1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
0 23 1 100 200 300 400
0 34 1 123 345 124 452
0 67 1 231 235 650 781
0 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
2 23 1 100 200 300 400
2 34 1 123 345 124 452
2 67 1 231 235 650 781
2 134 1 234 421 542 535
0 23 1 100 200 300 400
0 34 1 123 345 124 452
0 67 1 231 235 650 781
0 134 1 234 421 542 535
1 23 1 100 200 300 400
1 34 1 123 345 124 452
1 67 1 231 235 650 781
1 134 1 234 421 542 535
